Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
2550,000;51,008159;145,96479;88,797647;73,539263;74,921585;
2548,000;61,37953;129,40304;66,435813;67,90768;73,373571;
2546,000;74,222232;107,43916;98,756058;4,0189357;95,893078;
2544,000;9,2461418;94,686937;86,361736;44,430644;53,848079;
2542,000;19,358676;48,26435;82,810186;35,208233;51,724998;
2540,000;57,740182;98,919451;66,647826;97,045697;96,683733;
2538,000;36,557144;72,082038;30,390326;61,600372;79,575545;
2536,000;16,138548;67,783943;108,15723;50,39854;65,698464;
2534,000;32,017284;112,62704;89,492734;9,5041965;103,65994;
2532,000;8,2160186;125,34516;16,016053;49,957543;94,922348;
2530,000;2,6572299;138,13152;103,78774;58,272481;75,186352;
2528,000;89,088813;117,55759;92,375291;90,704388;60,010813;
2526,000;35,829345;122,94795;24,472835;94,881921;81,529074;
2524,000;42,899803;125,62178;22,381283;78,430642;108,76498;
2522,000;39,730645;129,78732;44,905752;22,518333;54,821814;
2520,000;52,488933;84,012123;88,330668;66,351301;50,05597;
2518,000;27,392417;113,15246;39,992776;64,829838;66,538271;
2516,000;76,446778;50,414426;20,882643;69,734267;74,159895;
2514,000;38,493046;88,579589;55,377867;51,439941;102,36849;
2512,000;68,610816;104,83053;26,478583;31,333584;31,75599;
2510,000;21,256988;62,107981;35,896644;39,162674;-24,416923;
2508,000;17,6414;112,30145;62,120995;15,600491;27,63934;
2506,000;34,143457;61,969257;-4,2087262;79,796226;29,59176;
2504,000;49,829027;94,128621;33,870302;86,136588;102,17858;
2502,000;29,181499;126,74519;90,095224;109,50505;33,995857;
2500,000;49,146237;119,22635;87,751881;132,80309;94,401161;
2498,000;45,077829;121,04418;100,93004;13,898016;82,541346;
2496,000;16,17448;115,32958;41,062387;101,44184;80,452804;
2494,000;80,366059;132,53905;75,234036;47,2868;100,59914;
2492,000;1,763297;151,75643;25,757645;49,343431;68,360575;
2490,000;-19,216643;62,346011;22,28017;87,641584;92,928698;
2488,000;-19,908362;78,880757;67,57954;61,694543;52,879601;
2486,000;11,389638;84,694204;8,1713454;62,756191;90,071842;
2484,000;25,53198;33,727175;18,775864;110,14398;44,046008;
2482,000;27,320668;155,58693;92,168085;53,884637;84,341004;
2480,000;37,003357;152,87502;29,642614;43,884803;81,884557;
2478,000;5,7621322;140,1573;74,671937;3,3485991;94,012552;
2476,000;-7,8983948;109,88976;76,391198;102,98549;98,601491;
2474,000;-22,262037;118,90446;87,470695;99,961413;135,81525;
